16896512,16896767,TH,Thailand,Kalasin,Yang Talat,16.39982,103.36785
16896768,16897023,TH,Thailand,Mukdahan,Mukdahan,16.54531,104.72351
16897024,16897279,TH,Thailand,Loei,Loei,17.49052,101.72749
16897280,16897791,TH,Thailand,Roi Et,Roi Et,16.0567,103.65309
16897792,16898047,TH,Thailand,Nakhon Phanom,Na Kae,16.94644,104.50081
16898048,16898303,TH,Thailand,Surin,Prasat,14.64039,103.40447
16898304,16898559,TH,Thailand,Nakhon Ratchasima,Pak Chong,14.70802,101.41614
16898560,16898815,TH,Thailand,Surin,Prasat,14.64039,103.40447
16898816,16899071,TH,Thailand,Maha Sarakham,Maha Sarakham,16.18483,103.30067
16899072,16899327,TH,Thailand,Maha Sarakham,Wapi Pathum,15.84523,103.37678
16899328,16899583,TH,Thailand,Songkhla,Ban Mai,7.20411,100.54508
16899584,16899839,TH,Thailand,Pattani,Mayo,6.71864,101.40983
16899840,16900095,TH,Thailand,Nakhon Pathom,Sam Phran,13.72698,100.21526
16900096,16900351,TH,Thailand,Si Sa Ket,Non Kho,14.91666,104.72522
16900352,16900607,TH,Thailand,Yasothon,Pa Tio,15.83156,104.38644
16900608,16900863,TH,Thailand,Si Sa Ket,Non Kho,14.91666,104.72522
16900864,16901119,TH,Thailand,Surin,Phanom Dong Rak,14.44575,103.30508
16901120,16901375,TH,Thailand,Nakhon Ratchasima,Nakhon Ratchasima,14.97066,102.10196
16901376,16901631,TH,Thailand,Si Sa Ket,Si Sa Ket,15.11481,104.32938
16901632,16901887,TH,Thailand,Surin,Chumphon Buri,15.34862,103.39217
16901888,16902143,TH,Thailand,Surin,Prasat,14.64039,103.40447
16902144,16902399,TH,Thailand,Nakhon Phanom,Pla Pak,17.18064,104.52606
16902400,16902655,TH,Thailand,Udon Thani,Ban Phue,17.68742,102.47256
16902656,16902911,TH,Thailand,Nakhon Phanom,Na Kae,16.94644,104.50081
16902912,16903167,TH,Thailand,Udon Thani,Sang Khom,17.82649,103.09262
16903168,16903423,TH,Thailand,Nong Khai,Nong Khai,17.87847,102.742
16903424,16903679,TH,Thailand,Roi Et,Roi Et,16.0567,103.65309
16903680,16903935,TH,Thailand,Nakhon Phanom,Na Kae,16.94644,104.50081
16903936,16904191,TH,Thailand,Mukdahan,Mukdahan,16.54531,104.72351
16904192,16904447,TH,Thailand,Si Sa Ket,Non Kho,14.91666,104.72522
16904448,16904703,TH,Thailand,Nakhon Ratchasima,Pak Chong,14.70802,101.41614
16904704,16905215,TH,Thailand,Nakhon Ratchasima,Nakhon Ratchasima,14.97066,102.10196
16905216,16905727,TH,Thailand,Ubon Ratchathani,Ubon Ratchathani,15.22483,104.85289
16905728,16905983,TH,Thailand,Nakhon Phanom,Pla Pak,17.18064,104.52606
16905984,16906239,TH,Thailand,Surin,Phanom Dong Rak,14.44575,103.30508
16906240,16906495,TH,Thailand,Sa Kaeo,Watthana Nakhon,13.74462,102.31863
16906496,16906751,TH,Thailand,Chai Nat,Sankhaburi,15.04733,100.16178
16906752,16907007,TH,Thailand,Krung Thep Maha Nakhon,Bangkok,13.75,100.51667
16907008,16907263,TH,Thailand,Phrae,Phrae,18.14589,100.14103
16907264,16907519,TH,Thailand,Krung Thep Maha Nakhon,Bangkok,13.75,100.51667
16907520,16907775,TH,Thailand,Nakhon Sawan,Takhli,15.26336,100.34378
16907776,16908031,TH,Thailand,Nakhon Phanom,Wang Yang,17.05752,104.45332
16908032,16908287,TH,Thailand,Sakon Nakhon,Wanon Niwat,17.63391,103.75241
16908288,16908799,CN,China,Fujian,Fuzhou,26.06139,119.30611
16908800,16909055,CN,China,Beijing,Beijing,39.9075,116.39723
16909056,16909311,AU,Australia,Queensland,Brisbane,-27.46794,153.02809
16909312,16909567,CN,China,Beijing,Beijing,39.9075,116.39723
16909568,16910335,CN,China,Fujian,Fuzhou,26.06139,119.30611
16910336,16910591,CN,China,Beijing,Beijing,39.9075,116.39723
16910592,16941055,CN,China,Guangdong,Guangzhou,23.11667,113.25
16941056,16941311,TH,Thailand,Nakhon Phanom,Wang Yang,17.05752,104.45332
16941312,16941567,TH,Thailand,Nakhon Phanom,Pla Pak,17.18064,104.52606
16941568,16941823,TH,Thailand,Sakon Nakhon,Phang Khon,17.3905,103.71692
16941824,16942079,TH,Thailand,Khon Kaen,Non Sila,15.97439,102.66983
16942080,16942335,TH,Thailand,Udon Thani,Udon Thani,17.41567,102.78589
16942336,16942591,TH,Thailand,Udon Thani,Na Yung,17.89747,102.14981
16942592,16942847,TH,Thailand,Loei,Loei,17.49052,101.72749
16942848,16943103,TH,Thailand,Nakhon Phanom,Na Kae,16.94644,104.50081
16943104,16943359,TH,Thailand,Sakon Nakhon,Sawang Daen Din,17.47531,103.45753
16943360,16943615,TH,Thailand,Nakhon Phanom,Wang Yang,17.05752,104.45332
16943616,16943871,TH,Thailand,Roi Et,Nong Phok,16.31006,104.20247
16943872,16944127,TH,Thailand,Sakon Nakhon,Sawang Daen Din,17.47531,103.45753
16944128,16944383,TH,Thailand,Roi Et,Roi Et,16.0567,103.65309
